hour,available_wind_MW
0,166.64899016393443
1,165.91209672131149
2,164.83299836065575
3,163.26039016393443
4,160.86963770491803
5,158.62904426229508
6,158.69017868852458
7,160.54847049180327
8,163.97029672131146
9,166.75838688524593
10,169.9803
11,173.05742950819672
12,173.72553278688525
13,172.20119180327868
14,169.88951475409834
15,169.05820655737705
16,169.3607786885246
17,170.51060983606558
18,171.73830327868853
19,172.29299672131148
20,171.76531147540985
21,170.95925737704917
22,169.77559344262295
23,168.5755475409836
